N,A,T,hx,Pi1_avg,v0,delta_1e8,delta_1e6,delta_1e4,tau4
4,1,0.5,0.5,0.007392515289751048,0.15450849718747373,1.0,1.0,1.0,0.005445856871480127
4,1,0.5,1.0,0.12733900449610322,0.10355339059327379,1.0,1.0,1.0,0.2888482877728306
4,1,1.0,0.5,0.025156432647347057,0.15450849718747373,1.0,1.0,1.0,0.013437392108251336
4,1,1.0,1.0,0.11705241707819025,0.10355339059327379,1.0,1.0,1.0,0.2555226828089605
4,1,2.0,0.5,0.01528440040286324,0.15450849718747373,1.0,1.0,1.0,0.020871339825313202
4,1,2.0,1.0,0.035663457640834374,0.10355339059327379,1.0,1.0,1.0,0.07598037409239891
6,1,0.5,0.5,0.006842747200459235,0.15450849718747373,1.0,1.0,1.0,0.004440837832824834
6,1,0.5,1.0,0.12340504922097947,0.10355339059327379,1.0,1.0,1.0,0.2202191306618099
6,1,1.0,0.5,0.022187992853683277,0.15450849718747373,1.0,1.0,1.0,0.009080013609431545
6,1,1.0,1.0,0.13198100215331102,0.10355339059327379,1.0,1.0,1.0,0.24318230529323256
6,1,2.0,0.5,0.016478684353002607,0.15450849718747373,1.0,1.0,1.0,0.020774949256729826
6,1,2.0,1.0,0.04700828141679149,0.10355339059327379,1.0,1.0,1.0,0.12664438269147413
8,1,0.5,0.5,0.005848211053475188,0.15450849718747373,1.0,1.0,1.0,0.003805115666837616
8,1,0.5,1.0,0.14993550969476044,0.10355339059327379,1.0,1.0,1.0,0.2748628518111793
8,1,1.0,0.5,0.020533935268528935,0.15450849718747373,1.0,1.0,1.0,0.007661981680005131
8,1,1.0,1.0,0.15200298321929848,0.10355339059327379,1.0,1.0,1.0,0.30011726910631764
8,1,2.0,0.5,0.01679304678707102,0.15450849718747373,1.0,1.0,1.0,0.020537613180094283
8,1,2.0,1.0,0.05099026207031011,0.10355339059327379,1.0,1.0,1.0,0.17808944193227047
