mode,theta,mu,m2,p_hat,p_lo,p_hi,pz,pz_lo,pz_hi,pass,source,rho,lam,Y_avg,ineq_mu_m2_rhs,ineq_mu_m2_lhs,ineq_M_rhs,ineq_M_lhs,M_sup
A,0.2,0.2863465341104517,0.1077624064681474,0.95755,0.9546668518810626,0.960257415923996,0.4869636618372532,0.4848569510571877,0.4892278287696874,True,A15_pz_summary_A.csv,,,,,,,,
A,0.4,0.2863465341104517,0.1077624064681474,0.8572,0.8522825403595137,0.861980269082005,0.2739170597834549,0.2726214132325154,0.2751043795191804,True,A15_pz_summary_A.csv,,,,,,,,
A,0.6,0.2863465341104517,0.1077624064681474,0.72385,0.7176111946809404,0.7300028307767416,0.1217409154593133,0.1212183700602973,0.1222555051057005,True,A15_pz_summary_A.csv,,,,,,,,
A,0.8,0.2863465341104517,0.1077624064681474,0.58215,0.5752995125358207,0.5889689359401613,0.0304352288648283,0.0302841764396814,0.0305797189675399,True,A15_pz_summary_A.csv,,,,,,,,
B,0.2,0.1265550527777676,0.0377267119497562,0.71335,0.7070424867824792,0.719575571432381,0.2717002239459595,0.2679581994000348,0.2753772710169808,True,A15_pz_summary_B.csv,0.0,,,,,,,
B,0.4,0.1265550527777676,0.0377267119497562,0.5751,0.5682353126417977,0.5819358435425753,0.1528313759696021,0.1508412764277151,0.1547636390415933,True,A15_pz_summary_B.csv,0.0,,,,,,,
B,0.6,0.1265550527777676,0.0377267119497562,0.4815,0.4745794424492989,0.4884276628847769,0.0679250559864898,0.0671465224765784,0.0687742361342261,True,A15_pz_summary_B.csv,0.0,,,,,,,
B,0.8,0.1265550527777676,0.0377267119497562,0.408,0.4012070922326785,0.4148282424016447,0.0169812639966224,0.0167736399665643,0.0171919793279808,True,A15_pz_summary_B.csv,0.0,,,,,,,
B,0.2,0.1848812836624308,0.0819452656903193,0.65285,0.6462234271390478,0.6594178674386012,0.2669574234321138,0.2639076858982882,0.2699805661075914,True,A15_pz_summary_B.csv,0.5,,,,,,,
B,0.4,0.1848812836624308,0.0819452656903193,0.54115,0.5342367449014359,0.5480474505311467,0.1501635506805639,0.1483570598810898,0.1519676474425838,True,A15_pz_summary_B.csv,0.5,,,,,,,
B,0.6,0.1848812836624308,0.0819452656903193,0.4644,0.4574955643902993,0.4713181085768953,0.0667393558580284,0.0659622059032722,0.0676017503920984,True,A15_pz_summary_B.csv,0.5,,,,,,,
B,0.8,0.1848812836624308,0.0819452656903193,0.4019,0.3951246287893407,0.4087130486848669,0.0166848389645071,0.0164832930014771,0.0168711788010786,True,A15_pz_summary_B.csv,0.5,,,,,,,
B,0.2,0.2339416198762543,0.1280947713723344,0.63075,0.6240370904457543,0.6374126921255744,0.2734409515029858,0.2704342580019191,0.2765541169211847,True,A15_pz_summary_B.csv,0.9,,,,,,,
B,0.4,0.2339416198762543,0.1280947713723344,0.5327,0.5257796976248764,0.5396077432170542,0.1538105352204295,0.1520027642439106,0.155649161949597,True,A15_pz_summary_B.csv,0.9,,,,,,,
B,0.6,0.2339416198762543,0.1280947713723344,0.4642,0.4572958011537302,0.4711179486278868,0.0683602378757464,0.0675740510773846,0.0691372005321067,True,A15_pz_summary_B.csv,0.9,,,,,,,
B,0.8,0.2339416198762543,0.1280947713723344,0.4071,0.4003096111289249,0.4139260691702994,0.0170900594689366,0.0168841248454216,0.0172827423918656,True,A15_pz_summary_B.csv,0.9,,,,,,,
C,0.2,0.0128791684198332,0.0012607505178699,1.0,0.9998079639438954,1.0,0.0842027864947238,0.0759945565468843,0.0953319966007236,True,A15_pz_summary_C.csv,,0.01,,,,,,
C,0.4,0.0128791684198332,0.0012607505178699,1.0,0.9998079639438954,1.0,0.0473640674032821,0.0430784986524087,0.0540585698675144,True,A15_pz_summary_C.csv,,0.01,,,,,,
C,0.6,0.0128791684198332,0.0012607505178699,1.0,0.9998079639438954,1.0,0.0210506966236809,0.0189629104087908,0.0235681732775278,True,A15_pz_summary_C.csv,,0.01,,,,,,
C,0.8,0.0128791684198332,0.0012607505178699,0.0098,0.0085257896976628,0.0112624824517421,0.0052626741559202,0.0047274540568451,0.0059310851489702,True,A15_pz_summary_C.csv,,0.01,,,,,,
C,0.2,0.0375915596214477,0.0109258765815154,1.0,0.9998079639438954,1.0,0.082775987840162,0.0808666363610275,0.0847633893583859,True,A15_pz_summary_C.csv,,0.1,,,,,,
C,0.4,0.0375915596214477,0.0109258765815154,0.09775,0.0937111105743005,0.1019433824328356,0.0465614931600911,0.045484763328957,0.0476354518003174,True,A15_pz_summary_C.csv,,0.1,,,,,,
C,0.6,0.0375915596214477,0.0109258765815154,0.0976,0.0935639553399746,0.1017905952779783,0.0206939969600405,0.0201825650007631,0.021235552932751,True,A15_pz_summary_C.csv,,0.1,,,,,,
C,0.8,0.0375915596214477,0.0109258765815154,0.0973,0.0932696538176889,0.1014850120218977,0.0051734992400101,0.0050532135663225,0.0053041488697974,True,A15_pz_summary_C.csv,,0.1,,,,,,
C,0.2,0.1503917361478165,0.0550822295482542,0.49325,0.4863230738116436,0.5001795186751138,0.2627945831479809,0.2596277233392754,0.2659538427115749,True,A15_pz_summary_C.csv,,0.5,,,,,,
C,0.4,0.1503917361478165,0.0550822295482542,0.4786,0.4716816038054433,0.485526615337758,0.1478219530207392,0.1459392443752195,0.1498819123760402,True,A15_pz_summary_C.csv,,0.5,,,,,,
C,0.6,0.1503917361478165,0.0550822295482542,0.45625,0.4493561182162021,0.463160684938707,0.0656986457869952,0.0648367880878863,0.0665430392341552,True,A15_pz_summary_C.csv,,0.5,,,,,,
C,0.8,0.1503917361478165,0.0550822295482542,0.4287,0.4218556348858515,0.435571749455749,0.0164246614467487,0.0161925732241911,0.016611074112248,True,A15_pz_summary_C.csv,,0.5,,,,,,
D,0.2,0.0390387080557599,0.0075444572222559,0.44235,0.4354784187417591,0.4492437230155098,0.1292834244174528,0.1261369434681863,0.1323023179863629,True,A15_pz_summary_D.csv,,,,,,,,
