mode,rho,theta,mu,m2,p_hat,p_lo,p_hi,pz,pz_lo,pz_hi,pass
B,0.0,0.2,0.12655505277776768,0.03772671194975627,0.71335,0.7070424867824792,0.719575571432381,0.2717002239459595,0.26795819940003485,0.27537727101698084,True
B,0.0,0.4,0.12655505277776768,0.03772671194975627,0.5751,0.5682353126417977,0.5819358435425753,0.15283137596960217,0.15084127642771517,0.1547636390415933,True
B,0.0,0.6,0.12655505277776768,0.03772671194975627,0.4815,0.47457944244929895,0.4884276628847769,0.06792505598648987,0.06714652247657844,0.06877423613422613,True
B,0.0,0.8,0.12655505277776768,0.03772671194975627,0.408,0.4012070922326785,0.41482824240164473,0.016981263996622455,0.016773639966564394,0.01719197932798085,True
B,0.5,0.2,0.18488128366243084,0.08194526569031939,0.65285,0.6462234271390478,0.6594178674386012,0.2669574234321138,0.2639076858982882,0.26998056610759147,True
B,0.5,0.4,0.18488128366243084,0.08194526569031939,0.54115,0.5342367449014359,0.5480474505311467,0.15016355068056397,0.14835705988108983,0.15196764744258384,True
B,0.5,0.6,0.18488128366243084,0.08194526569031939,0.4644,0.4574955643902993,0.4713181085768953,0.06673935585802845,0.06596220590327224,0.06760175039209843,True
B,0.5,0.8,0.18488128366243084,0.08194526569031939,0.4019,0.39512462878934074,0.4087130486848669,0.0166848389645071,0.016483293001477117,0.016871178801078687,True
B,0.9,0.2,0.2339416198762543,0.12809477137233444,0.63075,0.6240370904457543,0.6374126921255744,0.27344095150298586,0.2704342580019191,0.27655411692118476,True
B,0.9,0.4,0.2339416198762543,0.12809477137233444,0.5327,0.5257796976248764,0.5396077432170542,0.1538105352204295,0.1520027642439106,0.15564916194959705,True
B,0.9,0.6,0.2339416198762543,0.12809477137233444,0.4642,0.4572958011537302,0.47111794862788686,0.06836023787574647,0.06757405107738465,0.06913720053210677,True
B,0.9,0.8,0.2339416198762543,0.12809477137233444,0.4071,0.4003096111289249,0.41392606917029945,0.017090059468936603,0.016884124845421695,0.01728274239186561,True
