mode,theta,n,pass_rate,mean_margin,min_margin,mean_mu,mean_m2,mean_p_hat,mean_pz
A,0.2,1,1.0,0.4705863381627468,0.4705863381627468,0.2863465341104517,0.1077624064681474,0.95755,0.4869636618372532
A,0.4,1,1.0,0.5832829402165451,0.5832829402165451,0.2863465341104517,0.1077624064681474,0.8572,0.2739170597834549
A,0.6,1,1.0,0.6021090845406867,0.6021090845406867,0.2863465341104517,0.1077624064681474,0.72385,0.1217409154593133
A,0.8,1,1.0,0.5517147711351716,0.5517147711351716,0.2863465341104517,0.1077624064681474,0.58215,0.0304352288648283
B,0.2,3,1.0,0.39495046703964704,0.3573090484970142,0.18179265210548423,0.08258891633746997,0.66565,0.27069953296035304
B,0.4,3,1.0,0.3973815127098015,0.3788894647795704,0.18179265210548423,0.08258891633746997,0.54965,0.1522684872901985
B,0.6,3,1.0,0.4023584500932451,0.3958397621242536,0.18179265210548423,0.08258891633746997,0.4700333333333333,0.0676748832400882
B,0.8,3,1.0,0.3887479458566446,0.38521516103549286,0.18179265210548423,0.08258891633746997,0.4056666666666667,0.016918720810022034
C,0.2,3,1.0,0.6878255475057111,0.23045541685201915,0.06695415472969914,0.022422952215879834,0.8310833333333334,0.14325778582762225
C,0.4,3,1.0,0.4448674954719625,0.0511885068399089,0.06695415472969914,0.022422952215879834,0.5254500000000001,0.08058250452803746
C,0.6,3,1.0,0.48213555354309445,0.07690600303995951,0.06695415472969914,0.022422952215879834,0.51795,0.035814446456905534
C,0.8,3,1.0,0.1696463883857737,0.0045373258440798,0.06695415472969914,0.022422952215879834,0.1786,0.008953611614226333
D,0.2,1,1.0,0.31306657558254725,0.31306657558254725,0.0390387080557599,0.0075444572222559,0.44235,0.1292834244174528
D,0.4,1,1.0,0.2916280737651828,0.2916280737651828,0.0390387080557599,0.0075444572222559,0.36435,0.0727219262348172
D,0.6,1,1.0,0.28447914389563683,0.28447914389563683,0.0390387080557599,0.0075444572222559,0.3168,0.0323208561043632
D,0.8,1,1.0,0.2710697859739093,0.2710697859739093,0.0390387080557599,0.0075444572222559,0.27915,0.0080802140260907
E,0.2,1,1.0,0.5400403682911193,0.5400403682911193,0.0293921891175623,0.0054601867554485,0.6413,0.1012596317088806
E,0.4,1,1.0,0.3991414571637547,0.3991414571637547,0.0293921891175623,0.0054601867554485,0.4561,0.0569585428362453
E,0.6,1,1.0,0.3254850920727799,0.3254850920727799,0.0293921891175623,0.0054601867554485,0.3508,0.0253149079272201
E,0.8,1,1.0,0.27467127301819505,0.27467127301819505,0.0293921891175623,0.0054601867554485,0.281,0.006328726981805
F,0.2,1,1.0,0.41420806738966,0.41420806738966,0.2039535745201115,0.0504405564261519,0.942,0.52779193261034
F,0.4,1,1.0,0.5519170379066839,0.5519170379066839,0.2039535745201115,0.0504405564261519,0.8488,0.2968829620933161
F,0.6,1,1.0,0.626252016847415,0.626252016847415,0.2039535745201115,0.0504405564261519,0.7582,0.131947983152585
F,0.8,1,1.0,0.6280130042118538,0.6280130042118538,0.2039535745201115,0.0504405564261519,0.661,0.0329869957881462
